recommended_work_id,completed_work_id,internal_mp_id,mp_name_normalized,similarity_score,recommended_description,completed_description,recommended_amount,completed_amount,audit_status,pipeline_created_at
194641,194617,INTERNAL_MP_145,ABDUL RASHID SHEIKH,1.0,Providing of Sports gear for Sports clubs of Rafiabad AC,Providing of Sports gear for Sports clubs of Trehgam AC,300000.0,196968.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194641,194618,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9564,Providing of Sports gear for Sports clubs of Rafiabad AC,Providing of Sports gear for Sports clubs of Kupwara AC,300000.0,134715.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194641,194619,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9632,Providing of Sports gear for Sports clubs of Rafiabad AC,Providing of Sports gear for Sports clubs of Handwara AC,300000.0,199888.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194643,194617,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9564,Providing of Sports gear for Sports clubs of Uri AC,Providing of Sports gear for Sports clubs of Trehgam AC,300000.0,196968.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194644,194615,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9797,Providing of Sports gear for Sports clubs of Gulmarg AC,Providing of Sports gear for Sports clubs of KarnahAC,200000.0,151110.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194644,194617,INTERNAL_MP_145,ABDUL RASHID SHEIKH,1.0,Providing of Sports gear for Sports clubs of Gulmarg AC,Providing of Sports gear for Sports clubs of Trehgam AC,200000.0,196968.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194644,194618,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9564,Providing of Sports gear for Sports clubs of Gulmarg AC,Providing of Sports gear for Sports clubs of Kupwara AC,200000.0,134715.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194644,194619,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9632,Providing of Sports gear for Sports clubs of Gulmarg AC,Providing of Sports gear for Sports clubs of Handwara AC,200000.0,199888.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
194646,194617,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9632,Providing of Sports gear for Sports clubs of Pattan AC,Providing of Sports gear for Sports clubs of Trehgam AC,200000.0,196968.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
251193,252891,INTERNAL_MP_145,ABDUL RASHID SHEIKH,0.9601,Installation of solar street lights at different spots of Sopore Assembly Constituency. Location to be identified later.,Installation of solar street lights at different spots of Uri Assembly Constituency. Location to be identified later.,500000.0,498400.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1817,254173,INTERNAL_MP_045,ABHAY KUMAR SINHA,1.0,Construction of Ten Feet RCC Platform Mudra Ghat in Surya Mandir of Kujapi Village in Gaya Town of Belaganj Vidhansabha,Construction of Ten Feet RCC Platform Mudra Ghat in Surya Mandir of Kujapi Village in Gaya Town of Belaganj Vidhansabha,1498879.0,1498879.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
183356,183355,INTERNAL_MP_542,ABHIJIT GANGOPADHYAY,0.9583,"Construction of a concrete road from the house of Ramkrishna Pramanik to the house of Raghunath Jana, Mouza-Jalpai, J.L. No. 70, Plot No. 7274 to 7192, Khatian No. 16699 and 8566 under SitalpurPaschim G.P., Nandakumar, PurbaMedinipur","Construction of a concrete road from the house of Shankar Adak to the house of RamkrishnaPramanik, Mouza-Jalpai, J.L. No. 70, Plot No. 7255 to 7274, Khatian No. 15531 and 16699 under SitalpurPaschim G.P., Nandakumar, PurbaMedinipur",325480.0,348187.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
183370,183368,INTERNAL_MP_542,ABHIJIT GANGOPADHYAY,1.0,"Construction of a guard wall near the pond side of GopalMondal at Gojina, J.L. No. 225, Plot No. 1228 under Gojina G.P., MoynaPurbaMedinipur","Construction of a guard wall near the pond side of Bhagirat Dhara at Gojina, J.L. No. 225, Plot No. 1091 under Gojina G.P., MoynaPurbaMedinipur",250000.0,249555.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
154562,154563,INTERNAL_MP_537,ABU TAHER KHAN,0.9874,Repair & Renovation of Existing Building at Bhagwangola police station in the District murshidabad Part-I,Repair & Renovation of Existing Building at Bhagwangola police station in the District murshidabad part-II,500569.0,500569.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
