internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_02021,MR RAJESWARAN LOHIYADASAN,MR RAJESWARAN LOHIYADASAN,2214985.0,1,1,1,PUDUCHERRY,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02022,GURJEET SINGH,GURJEET SINGH,2213671.0,2,2,2,MADHYA PRADESH,Development of public parks,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02023,TRIVENI CONSTRUCTION,TRIVENI CONSTRUCTION,2212545.0,3,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02024,ANNADURAI E,ANNADURAI E,2211213.0,1,1,1,TAMIL NADU,Construction of rooms and halls in school and colleges,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02025,Donakonda Gangarajam,DONAKONDA GANGARAJAM,2210851.0,7,1,1,TELANGANA,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02026,JOHN P A,JOHN P A,2206553.0,2,1,1,KERALA,Construction of buildings for crèches and anganwadies,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02027,MS A K ENTERPRISE,MS A K ENTERPRISE,2203924.0,13,1,1,ASSAM,Construction of boundary walls of existing public and community buildings,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02028,STAR DEALERS,STAR DEALERS,2203457.0,3,1,1,RAJASTHAN,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02029,M A construction,M A CONSTRUCTION,2201356.0,1,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02030,JRR Construction,JRR CONSTRUCTION,2200000.0,2,1,1,TAMIL NADU,Construction of bus-sheds or bus-stops,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02031,Kurowa bhasa santi bazar,KUROWA BHASA SANTI BAZAR,2200000.0,2,1,1,ASSAM,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02032,MODERN ENGINEERING WORKS,MODERN ENGINEERING WORKS,2200000.0,4,1,1,TAMIL NADU,Purchase of furniture and fixtures for educational purposes,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02033,Sanwariya Enterprises,SANWARIYA ENTERPRISES,2200000.0,3,1,1,RAJASTHAN,Construction of public libraries and reading rooms,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02034,SRI NIRANJANI CONSTRUCTION,SRI NIRANJANI CONSTRUCTION,2200000.0,2,1,1,TAMIL NADU,Construction of bus-sheds or bus-stops,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
