internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_00001,R K Construction,R K CONSTRUCTION,156739090.0,182,6,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00002,RANJIT SALES CORPORATION,RANJIT SALES CORPORATION,136010400.0,249,5,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00003,BIOLUNAR ENERGY SOLUTION,BIOLUNAR ENERGY SOLUTION,130529300.0,258,5,1,BIHAR,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00004,SHRI GURU KRIPA NARSINGH ASSOCIATES,SHRI GURU KRIPA NARSINGH ASSOCIATES,125604534.0,82,3,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00005,JAI CONSTRUCTION,JAI CONSTRUCTION,122963972.0,150,2,2,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00006,KRIDL BHUSIRI ACCOUNT WORKS,KRIDL BHUSIRI ACCOUNT WORKS,119863039.0,245,16,1,KARNATAKA,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00007,Alam Brothers,ALAM BROTHERS,113404000.0,121,1,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00008,SHIV DURGA INDUSTRIES,SHIV DURGA INDUSTRIES,102772259.0,73,3,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00009,SIGMA ENTERPRISES,SIGMA ENTERPRISES,94050000.0,38,1,1,BIHAR,Setting up of laboratories,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00010,MS RAMESH CHANDRA PATEL,MS RAMESH CHANDRA PATEL,90325342.0,87,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00011,Nightingale Networks LLP,NIGHTINGALE NETWORKS LLP,88448056.0,219,1,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00012,SRIJAN CONSTRUCTION,SRIJAN CONSTRUCTION,82624494.0,121,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00013,Murphy Thumrah,MURPHY THUMRAH,81575653.0,56,1,1,MANIPUR,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00014,S K Enterprises,S K ENTERPRISES,78679435.0,60,9,4,BIHAR,Installation of fixed garden gym equipment,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00015,BIHARI JI MAHADEV ASSOCIATES,BIHARI JI MAHADEV ASSOCIATES,77782670.0,170,4,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00016,SAI ENTERPRISES,SAI ENTERPRISES,77043057.0,101,7,5,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00017,Praharsh Infrastructure,PRAHARSH INFRASTRUCTURE,76771727.0,26,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00018,TATA MOTORS,TATA MOTORS,74899355.0,53,20,6,KERALA,Purchase of vans and buses for educational institutions,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00019,BAKE BIHARI TRADERS,BAKE BIHARI TRADERS,72370320.0,296,1,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00020,AMIT KUMAR JUNIOR ENGINEER,AMIT KUMAR JUNIOR ENGINEER,71561875.0,194,1,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00021,SHREE VISHNU TRADERS,SHREE VISHNU TRADERS,70129779.0,25,3,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00022,MS RAJ KAMAL CONSTRUCTIONS,MS RAJ KAMAL CONSTRUCTIONS,69796613.0,61,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00023,CHANDAN ENTERPRISES,CHANDAN ENTERPRISES,69646000.0,60,3,1,BIHAR,Construction of bus-sheds or bus-stops,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00024,SML ISUZU LTD,SML ISUZU LTD,66787910.0,36,13,4,KERALA,Purchase of vans and buses for educational institutions,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00025,Gyan Ganga,GYAN GANGA,65502244.0,184,5,3,BIHAR,Purchase of books and periodicals for libraries/digitization of library books,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00026,AADI AND RUDRANSH CONSTRUCTION COMPANY,AADI AND RUDRANSH CONSTRUCTION COMPANY,63720410.0,46,2,1,UTTAR PRADESH,Setting up public non-conventional energy plants,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00027,VE Commercial Vehicles Ltd,VE COMMERCIAL VEHICLES LTD,62565606.0,37,11,1,KERALA,Purchase of vans and buses for educational institutions,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00028,intent computer solutions,INTENT COMPUTER SOLUTIONS,62450000.0,24,2,1,BIHAR,Setting up of laboratories,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00029,Mysore Nirmithi Kendra,MYSORE NIRMITHI KENDRA,62412500.0,165,3,1,KARNATAKA,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00030,T S SOLAR POWER SYSTEM,T S SOLAR POWER SYSTEM,62244313.0,96,2,1,TAMIL NADU,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00031,RAJESH KUMAR PAL,RAJESH KUMAR PAL,62204113.0,53,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00032,Sunny Enterprises,SUNNY ENTERPRISES,62020218.0,22,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00033,SITA RAM PATEL,SITA RAM PATEL,61073569.0,262,2,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00034,Shyam Solar Trading,SHYAM SOLAR TRADING,60375792.0,107,2,2,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00035,SADGURU SAI INFRA WORLD PVT LTD REWA,SADGURU SAI INFRA WORLD PVT LTD REWA,60199660.0,104,1,1,MADHYA PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00036,Siddhu Enterprises,SIDDHU ENTERPRISES,58285938.0,59,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00037,GRAND TRADING COMPANY,GRAND TRADING COMPANY,56457000.0,81,1,1,BIHAR,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00038,NIRMITHI KENDRA DAVANGERE,NIRMITHI KENDRA DAVANGERE,56200000.0,87,1,1,KARNATAKA,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00039,RAJEEV RANJAN JUNIOR ENGINEER,RAJEEV RANJAN JUNIOR ENGINEER,55862000.0,112,1,1,JHARKHAND,Construction of culverts and bridges,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00040,ARVIND KUMAR PANDEY,ARVIND KUMAR PANDEY,55473149.0,156,2,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00041,ARUNODAY PRAKASHAN,ARUNODAY PRAKASHAN,55000000.0,16,2,1,BIHAR,Purchase of books and periodicals for libraries/digitization of library books,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00042,MAHI ENTERPRISES,MAHI ENTERPRISES,53641199.0,256,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00043,ANUJ SINGHAL CONTRACTOR,ANUJ SINGHAL CONTRACTOR,53082951.0,126,1,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00044,QUALITTY ENTERPRISES,QUALITTY ENTERPRISES,52377382.0,120,2,1,TAMIL NADU,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00045,MANNAT CONSTRUCTION,MANNAT CONSTRUCTION,51925912.0,259,2,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00046,Electromech Enterpries,ELECTROMECH ENTERPRIES,51774667.0,184,2,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00047,NATIONAL INFRATECH,NATIONAL INFRATECH,51553774.0,442,2,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00048,DHANASEKARAN K,DHANASEKARAN K,49833996.0,56,1,1,TAMIL NADU,Purchase of furniture and fixtures for educational purposes,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00049,RMK ENTERPRISES,RMK ENTERPRISES,49550400.0,12,2,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00050,SOMYA CONSTRUCTION,SOMYA CONSTRUCTION,49082754.0,331,1,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00051,MP Agro Biaora,MP AGRO BIAORA,47158656.0,88,1,1,MADHYA PRADESH,Installation of fixed garden gym equipment,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00052,Vishwanath Enterprises,VISHWANATH ENTERPRISES,45283519.0,64,1,1,UTTAR PRADESH,Installing community drinking water plants,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00053,SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,43544349.0,123,1,1,MADHYA PRADESH,Installing tube-wells and borewells,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00054,GOPAL CHANDRA CHOWDHURY,GOPAL CHANDRA CHOWDHURY,42305152.0,37,2,1,WEST BENGAL,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00055,ASSISTANT ENGINEER RAMGARH,ASSISTANT ENGINEER RAMGARH,42154488.0,107,1,1,BIHAR,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00056,Raman Chihansung,RAMAN CHIHANSUNG,42000000.0,24,1,1,MANIPUR,Development of playground,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00057,MP STATE AGRO INDUSTRIES DEVELOPMENT CORP LTD,MP STATE AGRO INDUSTRIES DEVELOPMENT CORP LTD,41807174.0,191,1,1,MADHYA PRADESH,Purchase of mobile water tankers,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00058,S K CONSTRUCTION,S K CONSTRUCTION,41139924.0,66,5,3,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00059,ANNPURNA TRADING,ANNPURNA TRADING,40465248.0,31,2,1,BIHAR,Setting up of laboratories,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00060,Ajay Kumar Singh,AJAY KUMAR SINGH,40218252.0,335,3,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00061,DEVESH KUMAR PATLE,DEVESH KUMAR PATLE,39998181.0,226,1,1,MADHYA PRADESH,Construction of culverts and bridges,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00062,M S Y  R ENTERPRISES,M S Y R ENTERPRISES,39787677.0,49,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00063,MK INFRATECH,MK INFRATECH,39376639.0,144,2,1,UTTAR PRADESH,Installing community drinking water plants,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00064,EXECUTIVE ENGINER NREP GIRIDIH,EXECUTIVE ENGINER NREP GIRIDIH,39032762.0,161,2,1,JHARKHAND,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00065,BIRENDRA KUMAR MAHATO,BIRENDRA KUMAR MAHATO,38572500.0,202,1,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00066,SHRI GURU KRIPA NARSINGH ASSOSIATES,SHRI GURU KRIPA NARSINGH ASSOSIATES,37203872.0,4,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00067,BIDYUT BHANDARI,BIDYUT BHANDARI,37112787.0,15,1,1,WEST BENGAL,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00068,KANHAIYA KUMAR SINGH,KANHAIYA KUMAR SINGH,36742422.0,86,1,1,JHARKHAND,Construction of common work sheds/ common covered sitting area,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00069,PROJECT MANAGER NIRMITHI KENDRA MANDYA,PROJECT MANAGER NIRMITHI KENDRA MANDYA,36575000.0,103,1,1,KARNATAKA,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00070,VIGYAN UPKARAN KENDRA,VIGYAN UPKARAN KENDRA,36175000.0,29,2,1,BIHAR,"Purchase of smart boards, visual display units and projectors",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00071,GLOSIA ENERGY INDIA PRIVATE LIMITED,GLOSIA ENERGY INDIA PRIVATE LIMITED,35938221.0,30,2,1,WEST BENGAL,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00072,JITENDRA KUMAR SINGH,JITENDRA KUMAR SINGH,35725987.0,45,2,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00073,BHAGWATI CHAND,BHAGWATI CHAND,35289867.0,789,1,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00074,INTERNATIONAL SCIENTIFIC STORES,INTERNATIONAL SCIENTIFIC STORES,34939000.0,26,3,1,BIHAR,Setting up of laboratories,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00075,Gandhi Construction And Supplier,GANDHI CONSTRUCTION AND SUPPLIER,34852494.0,303,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00076,CHANCH PRO ENGINEERS,CHANCH PRO ENGINEERS,34798800.0,126,2,1,BIHAR,Purchase of furniture and fixtures for educational purposes,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00077,KPL EQUIPMENTS PRIVATE LIMITED,KPL EQUIPMENTS PRIVATE LIMITED,34721452.0,87,1,1,MADHYA PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00078,Shiv kumar thekedar,SHIV KUMAR THEKEDAR,34469115.0,294,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00079,Atharv Enterprises,ATHARV ENTERPRISES,34446064.0,5,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00080,DHARMENDRA ENTERPRISES,DHARMENDRA ENTERPRISES,34020702.12,170,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00081,Hindusthan Power Technology,HINDUSTHAN POWER TECHNOLOGY,33636942.0,91,1,1,TAMIL NADU,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00082,shyam swaroop manufacturere,SHYAM SWAROOP MANUFACTURERE,33472404.8,260,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00083,ATANU PATRA,ATANU PATRA,33234473.0,46,2,1,WEST BENGAL,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00084,MAHALAXMI INDUSTRIES,MAHALAXMI INDUSTRIES,33171828.0,121,2,1,MADHYA PRADESH,Purchase of mobile water tankers,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00085,RAKESH KUMAR SHARMA,RAKESH KUMAR SHARMA,33054370.0,45,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00086,SHYAM SUNDER ENTERPRISES,SHYAM SUNDER ENTERPRISES,32953015.0,33,4,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00087,TANYA CONSTRUCTION,TANYA CONSTRUCTION,32841533.0,64,2,2,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00088,MP STATE AGRO IND DEV CORP LTD,MP STATE AGRO IND DEV CORP LTD,32627520.0,97,1,1,MADHYA PRADESH,Construction of common work sheds/ common covered sitting area,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00089,MP State Cooperative Marketing Fed Li Rajgarh,MP STATE COOPERATIVE MARKETING FED LI RAJGARH,32574620.0,67,1,1,MADHYA PRADESH,Installation of fixed garden gym equipment,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00090,The Mananging Director Kerala Medical Service Coporation Ltd,THE MANANGING DIRECTOR KERALA MEDICAL SERVICE COPORATION LTD,32562250.0,1,1,1,LAKSHADWEEP,Purchase of hospital equipment,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00091,Ms GANPATI CONSTRUCTIONS,MS GANPATI CONSTRUCTIONS,32509859.0,63,1,1,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00092,Shiv Kumar,SHIV KUMAR,32409967.0,394,4,3,UTTAR PRADESH,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00093,B PAUL AND CO,B PAUL AND CO,32263762.0,103,2,1,WEST BENGAL,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00094,Bommai Zilla Nirmithi Kendra,BOMMAI ZILLA NIRMITHI KENDRA,32225000.0,97,1,1,KARNATAKA,Construction of buildings for community cultural activities,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
