internal_vendor_id,vendor_name_normalized,total_received_amount,vendor_revenue_percentile,vendor_revenue_robust_zscore,total_transaction_count,average_ticket_size,unique_mps_served,unique_states_served,primary_state,primary_activity,primary_mp_id,primary_mp_name,single_mp_reliance_pct,feature_generated_at
INTERNAL_VND_14205,SARPANCH GRAM PANCHAYAT BAJJARWADA,246485.0,0.36524109576797603,-0.3101024889001191,6,41080.833333333336,1,1,MADHYA PRADESH,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_223,DARSHAN SINGH CHOUDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14206,TAD GRAM PANCHAYAT,246484.0,0.3651964070250704,-0.3101045178620847,1,246484.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_116,RAJESHBHAI NARANBHAI CHUDASAMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14207,GRAMPANCHAYAT SINDHPUR,246471.0,0.3651293739107119,-0.3101308943676377,1,246471.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14208,HAMADPARA GRAM PANCHAYAT,246471.0,0.3651293739107119,-0.3101308943676377,1,246471.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14209,GROUP GRAM PANCHAYAT MANDALI,246300.0,0.3650623407963534,-0.31047784686375723,1,246300.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14210,AM SOLAR ENERGY,246192.0,0.3650176520534477,-0.31069697475604324,1,246192.0,1,1,PUNJAB,Development of playfields and sports grounds,INTERNAL_MP_323,SHRI AMAR SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14211,GADHVANA GRAM PANCHAYAT,246176.0,0.3649729633105421,-0.31072943814749304,1,246176.0,1,1,GUJARAT,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14212,VARSOLA GRAM PANCHAYAT,246101.0,0.36492827456763643,-0.3108816102949139,2,123050.5,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_118,DEVUSINH JESINGBHAI CHAUHAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14213,AP CO OP L C SOCIETY LTD BIGHAR,246089.0,0.36488358582473074,-0.3109059578385012,1,246089.0,1,1,HARYANA,Installation of multi-gym equipment,INTERNAL_MP_134,JAI PARKASH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14214,ANIL KUMAR Y,246004.0,0.3648388970818251,-0.31107841960557825,1,246004.0,1,1,ANDHRA PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_007,DAGGUMALLA PRASADA RAO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14215,DWARKA DASS MOHAL LAL,246000.0,0.3647942083389194,-0.3110865354534406,1,246000.0,1,1,PUNJAB,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",INTERNAL_MP_319,SHRI GURJEET SINGH AUJLA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14216,THEPADA GRAM PANCHAYAT,245998.0,0.36474951959601376,-0.3110905933773719,1,245998.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14217,GRAM PANCHAYAT HIMALA,245956.0,0.3647048308531081,-0.31117580977992754,1,245956.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14218,GRAM PANCHAYAT JAALAT,245955.0,0.3646601421102024,-0.3111778387418932,1,245955.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14219,TEM TAKAR,245926.0,0.3646154533672968,-0.31123667863889587,1,245926.0,1,1,ARUNACHAL PRADESH,Construction of toilet blocks,INTERNAL_MP_028,KIREN RIJIJU,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14220,GRAM PANCHAYAT RAI,245900.0,0.36457076462439114,-0.31128943165000184,1,245900.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14221,GRAM PANCHAYAT GANGARDI,245831.0,0.3645037315100326,-0.31142943002562895,1,245831.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14222,GRAM PANCHAYAT JESAWADA,245831.0,0.3645037315100326,-0.31142943002562895,1,245831.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14223,AVINASH H C,245824.0,0.3644366983956741,-0.31144363275938824,2,122912.0,1,1,KARNATAKA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_180,SHREYAS. M. PATEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14224,GRAM PANCHAYAT RAYPURA,245800.0,0.36436966528131565,-0.31149232784656294,1,245800.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_113,JASWANTSINH SUMANBHAI BHABHOR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14225,NADEEM CHOWDHARY,245800.0,0.36436966528131565,-0.31149232784656294,1,245800.0,1,1,JAMMU AND KASHMIR,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",INTERNAL_MP_146,SHRI JUGAL KISHORE SHARMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14226,ALOM NYIGANG,245631.0,0.36430263216695713,-0.3118352224187513,1,245631.0,1,1,ARUNACHAL PRADESH,Construction of public toilets and bathrooms,INTERNAL_MP_028,KIREN RIJIJU,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14227,KADEGI GARAM PANCHAYAT,245563.0,0.3642579434240515,-0.31197319183241284,1,245563.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14228,MR KALAPAN GRAM PANCHAYAT,245516.0,0.3642132546811458,-0.3120685530447966,1,245516.0,1,1,GUJARAT,Providing drains and gutters for public drainage,INTERNAL_MP_116,RAJESHBHAI NARANBHAI CHUDASAMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14229,KHAMIDANA GRAM PANCHAYAT,245455.0,0.36416856593824015,-0.3121923197246989,1,245455.0,1,1,GUJARAT,Construction of rooms and halls in school and colleges,INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
